CODE_UIC;LIBELLE_GARE;FRET;VOYAGEURS;CODE_LIGNE;RANG;PK;COMMUNE;DEPARTEMENT;IDRESEAU;IDGAIA;X (lambert93);Y (lambert93);X (WGS84);Y (WGS84);coordonnees_geographiques
87214528;Entzheim;N;O;110000;1;9+074;Entzheim;Bas-Rhin;30000004048;298ddf04-dfbc-11e3-a2ff-01a464e0362d;1041495.3003000021;6837452.029599998;7.629368989794591;48.54717742005756;48.54717742, 7.62936898979
87214510;Holtzheim;N;N;110000;1;6+409;Holtzheim;Bas-Rhin;30000004457;e1606c2e-19bf-11e5-a6ff-01fc64e0362d;1043929.9531999975;6838529.0821;7.663158413208045;48.55556138596476;48.5555613859, 7.66315841321
87214379;Scharrachbergheim;N;N;111000;1;40+148;Scharrachbergheim-Irmstett;Bas-Rhin;30000072444;e542533a-6667-11e3-a7ff-01f464e0362d;;;;;
87214437;Wasselonne;N;N;111000;1;47+055;Wasselonne;Bas-Rhin;30000072446;e543193e-6667-11e3-a7ff-01f464e0362d;;;;;
87214395;Marlenheim;N;N;111000;1;43+636;Marlenheim;Bas-Rhin;30000072445;e54361fa-6667-11e3-a7ff-01f464e0362d;;;;;
87192054;Metz-devant-les-Ponts;O;N;192000;1;159+553;Le Ban-St-Martin;Moselle;30000005477;29592e36-dfbc-11e3-a2ff-01a464e0362d;930655.5807999969;6896746.768199999;6.160935911508385;49.12896255494399;49.1289625549, 6.16093591151
87191742;Gandrange-Amnéville;O;O;85000;1;342+076;Amnéville;Moselle;30000004259;29a00d58-dfbc-11e3-a2ff-01a464e0362d;928250.1750999987;6911335.755800001;6.135942550081968;49.260879766029134;49.260879766, 6.13594255008
87192229;Sanry-sur-Nied;N;O;140000;1;137+819;Sanry-sur-Nied;Moselle;30000006750;d9818ea6-6667-11e3-89ff-01f464e0362d;944103.7704999968;6887912.619199999;6.339900100336438;49.04462358146033;49.0446235814, 6.33990010034
87286419;Wavrin;N;O;289000;1;15+876;Wavrin;Nord;30000007350;d9e0d024-6667-11e3-89ff-01f464e0362d;695431.5640999973;7053000.075300001;2.9356130867826216;50.57412319182417;50.5741231918, 2.93561308678
87286187;La Madeleine;O;O;296000;1;5+617;;;30000004699;29288c70-dfbc-11e3-a2ff-01a464e0362d;704344.2853000015;7062640.939300001;3.0613333075975864;50.660646535544785;50.6606465355, 3.0613333076
87286450;Caestre;N;N;299000;1;6+262;Caëstre;Nord;30000072468;e54b2276-6667-11e3-a7ff-01f464e0362d;;;;;
87286518;Seclin;O;O;265000;1;29+710;Seclin;Nord;30000006799;e15d10b6-19bf-11e5-a6ff-01fc64e0362d;;;;;
87295543;Sous-le-Bois;O;O;242000;1;226+281;Maubeuge;Nord;30000006885;d9c7aa06-6667-11e3-89ff-01f464e0362d;767102.2260000035;7019026.334899999;3.9399851814810183;50.26557144191194;50.2655714419, 3.93998518148
